ZIP Code,Type,Common Cities,County
501,Unique,Holtsville,Suffolk County
544,Unique,Holtsville,Suffolk County
6390,PO Box,"Fishers Island, Fishers Isle",Suffolk County
10001,Standard,New York,New York County
10002,Standard,"New York, Knickerbocker",New York County
10003,Standard,New York,New York County
10004,Standard,"New York, Bowling Green",New York County
10005,Standard,"New York, Wall Street",New York County
10006,Standard,"New York, Trinity",New York County
10007,Standard,New York,New York County
10008,PO Box,New York,New York County
10009,Standard,New York,New York County
10010,Standard,New York,New York County
10011,Standard,New York,New York County
10012,Standard,"New York, Prince",New York County
10013,Standard,"New York, Canal Street, Chinatown",New York County
10014,Standard,New York,New York County
10015,Standard,New York,New York County
10016,Standard,New York,New York County
10017,Standard,New York,New York County
10018,Standard,New York,New York County
10019,Standard,New York,New York County
10020,Standard,New York,New York County
10021,Standard,New York,New York County
10022,Standard,New York,New York County
10023,Standard,New York,New York County
10024,Standard,New York,New York County
10025,Standard,New York,New York County
10026,Standard,New York,New York County
10027,Standard,New York,New York County
10028,Standard,New York,New York County
10029,Standard,New York,New York County
10030,Standard,New York,New York County
10031,Standard,New York,New York County
10032,Standard,New York,New York County
10033,Standard,New York,New York County
10034,Standard,New York,New York County
10035,Standard,New York,New York County
10036,Standard,New York,New York County
10037,Standard,New York,New York County
10038,Standard,"New York, Peck Slip",New York County
10039,Standard,New York,New York County
10040,Standard,New York,New York County
10041,Standard,New York,New York County
10043,Unique,New York,New York County
10044,Standard,"New York, Roosevelt Isl, Roosevelt Island",New York County
10045,Standard,New York,New York County
10046,Unique,New York,New York County
10047,Unique,New York,New York County
10048,Standard,"New York, Manhattan, World Trade Ctr, Nyc",New York County
10055,Standard,New York,New York County
10060,Standard,New York,New York County
10065,Standard,New York,New York County
10069,Standard,New York,New York County
10072,Unique,"New York, Philip Morris",New York County
10075,Standard,New York,New York County
10079,Unique,New York,New York County
10080,Unique,New York,New York County
10081,Unique,New York,New York County
10082,Unique,"New York, Capitol Cities",New York County
10087,Unique,New York,New York County
10090,Standard,New York,New York County
10094,Unique,New York,New York County
10095,Standard,New York,New York County
10096,Unique,New York,New York County
10098,Standard,New York,New York County
10099,Standard,New York,New York County
10101,PO Box,New York,New York County
10102,Unique,New York,New York County
10103,Standard,New York,New York County
10104,Standard,New York,New York County
10105,Standard,New York,New York County
10106,Standard,New York,New York County
10107,Standard,New York,New York County
10108,PO Box,New York,New York County
10109,Unique,New York,New York County
10110,Standard,New York,New York County
10111,Standard,New York,New York County
10112,Standard,New York,New York County
10113,PO Box,New York,New York County
10114,Unique,New York,New York County
10115,Standard,New York,New York County
10116,PO Box,New York,New York County
10117,Unique,New York,New York County
10118,Standard,New York,New York County
10119,Standard,New York,New York County
10120,Standard,New York,New York County
10121,Standard,New York,New York County
10122,Standard,New York,New York County
10123,Standard,New York,New York County
10124,Unique,New York,New York County
10125,Unique,New York,New York County
10126,Unique,New York,New York County
10128,Standard,New York,New York County
10129,PO Box,New York,New York County
10130,Unique,New York,New York County
10131,Unique,New York,New York County
10132,Unique,New York,New York County
10133,Unique,New York,New York County
10138,Unique,New York,New York County
10149,Unique,New York,New York County
10150,PO Box,New York,New York County
10151,Standard,New York,New York County
10152,Standard,New York,New York County
10153,Standard,New York,New York County
10154,Standard,New York,New York County
10155,Standard,New York,New York County
10156,PO Box,New York,New York County
10157,Unique,New York,New York County
10158,Standard,New York,New York County
10159,PO Box,New York,New York County
10160,Unique,New York,New York County
10161,Standard,New York,New York County
10162,Standard,New York,New York County
10163,PO Box,New York,New York County
10164,Unique,New York,New York County
10165,Standard,New York,New York County
10166,Standard,New York,New York County
10167,Standard,New York,New York County
10168,Standard,New York,New York County
10169,Standard,New York,New York County
10170,Standard,New York,New York County
10171,Standard,New York,New York County
10172,Standard,New York,New York County
10173,Standard,New York,New York County
10174,Standard,New York,New York County
10175,Standard,New York,New York County
10176,Standard,New York,New York County
10177,Standard,New York,New York County
10178,Standard,New York,New York County
10179,Unique,New York,New York County
10184,Unique,New York,New York County
10185,PO Box,New York,New York County
10196,Unique,New York,New York County
10197,Unique,New York,New York County
10199,Standard,New York,New York County
10200,Standard,New York,New York County
10203,Unique,New York,New York County
10211,Unique,New York,New York County
10212,Unique,New York,New York County
10213,Unique,New York,New York County
10242,PO Box,New York,New York County
10249,PO Box,New York,New York County
10256,Unique,New York,New York County
10257,Unique,New York,New York County
10258,Unique,New York,New York County
10259,Unique,"New York, New York City",New York County
10260,Standard,New York,New York County
10261,Unique,New York,New York County
10265,Standard,New York,New York County
10268,PO Box,New York,New York County
10269,Unique,New York,New York County
10270,Standard,New York,New York County
10271,Standard,New York,New York County
10272,PO Box,New York,New York County
10273,Unique,New York,New York County
10274,PO Box,New York,New York County
10275,Unique,New York,New York County
10276,PO Box,New York,New York County
10277,Unique,New York,New York County
10278,Standard,New York,New York County
10279,Standard,New York,New York County
10280,Standard,New York,New York County
10281,Standard,New York,New York County
10282,Standard,New York,New York County
10285,Unique,New York,New York County
10286,Unique,New York,New York County
10292,Unique,New York,New York County
10301,Standard,Staten Island,Richmond County
10302,Standard,Staten Island,Richmond County
10303,Standard,Staten Island,Richmond County
10304,Standard,Staten Island,Richmond County
10305,Standard,Staten Island,Richmond County
10306,Standard,Staten Island,Richmond County
10307,Standard,Staten Island,Richmond County
10308,Standard,Staten Island,Richmond County
10309,Standard,Staten Island,Richmond County
10310,Standard,Staten Island,Richmond County
10311,Standard,Staten Island,Richmond County
10312,Standard,Staten Island,Richmond County
10313,PO Box,Staten Island,Richmond County
10314,Standard,Staten Island,Richmond County
10451,Standard,Bronx,Bronx County
10452,Standard,Bronx,Bronx County
10453,Standard,Bronx,Bronx County
10454,Standard,Bronx,Bronx County
10455,Standard,Bronx,Bronx County
